event_id,sport_id,league_id,league_name,home,away,starts,period_number,period_description,market,line,side,ts_iso,ts_epoch,price,limit
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-09T13:17:32+00:00,1752067052,1.961,1500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-09T13:17:32+00:00,1752067052,1.892,1500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-10T16:06:50+00:00,1752163610,1.98,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-10T16:06:50+00:00,1752163610,1.877,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-10T16:15:50+00:00,1752164150,2.0,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-10T16:15:50+00:00,1752164150,1.854,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-10T21:23:09+00:00,1752182589,1.99,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-10T21:23:09+00:00,1752182589,1.862,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-12T17:53:45+00:00,1752342825,2.0,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-12T17:53:45+00:00,1752342825,1.854,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-13T04:10:05+00:00,1752379805,1.952,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-13T04:10:05+00:00,1752379805,1.9,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,away,2025-07-13T09:35:29+00:00,1752399329,2.03,2500.0
1610679471,8,1624,UFC,Max Holloway,Dustin Poirier,2025-07-20T04:44:00,0,Fight,moneyline,,home,2025-07-13T09:35:29+00:00,1752399329,1.826,2500.0
