event_id,sport_id,league_id,league_name,home,away,starts,event_type,period,moneyline_home,moneyline_draw,moneyline_away,spread_handicap,spread_home,spread_away,total_points,total_over,total_under,home_team_over,home_team_under,away_team_over,away_team_under,is_open
1610166048,7,889,NFL,Chicago Bears,Minnesota Vikings,2025-09-09T00:17:00,prematch,Game,,,,,,,,,,,,,,True
1610166048,7,889,NFL,Chicago Bears,Minnesota Vikings,2025-09-09T00:17:00,prematch,1st Half,,,,,,,,,,,,,,True
1610166048,7,889,NFL,Chicago Bears,Minnesota Vikings,2025-09-09T00:17:00,prematch,1st Quarter,,,,,,,,,,,,,,True
1614303670,7,889,NFL,Green Bay Packers,Washington Commanders,2025-09-12T00:15:00,prematch,Game,1.529,,2.62,-3.5,1.952,1.934,48.0,1.9,1.97,1.819,2.04,2.14,1.751,True
1614303670,7,889,NFL,Green Bay Packers,Washington Commanders,2025-09-12T00:15:00,prematch,1st Half,1.581,,2.51,-2.5,1.819,2.08,23.5,1.892,1.98,1.952,1.917,2.25,1.694,True
1614303670,7,889,NFL,Green Bay Packers,Washington Commanders,2025-09-12T00:15:00,prematch,1st Quarter,1.609,,2.41,-0.5,1.98,1.884,9.5,1.884,1.97,1.869,1.98,2.33,1.636,True
1614302120,7,889,NFL,Cincinnati Bengals,Jacksonville Jaguars,2025-09-14T17:00:00,prematch,Game,1.529,,2.65,-3.5,1.98,1.909,49.5,1.952,1.917,1.99,1.869,1.787,2.09,True
1614302120,7,889,NFL,Cincinnati Bengals,Jacksonville Jaguars,2025-09-14T17:00:00,prematch,1st Half,1.598,,2.47,-3.5,2.16,1.769,24.0,1.9,1.97,1.869,2.0,1.649,2.34,True
1614302120,7,889,NFL,Cincinnati Bengals,Jacksonville Jaguars,2025-09-14T17:00:00,prematch,1st Quarter,1.645,,2.34,-2.5,2.07,1.819,9.5,1.833,2.03,1.847,2.01,1.625,2.35,True
1614303672,7,889,NFL,Detroit Lions,Chicago Bears,2025-09-14T17:00:00,prematch,Game,1.438,,2.96,-5.0,1.961,1.925,47.5,1.97,1.9,2.12,1.763,2.08,1.793,True
